nqubits,depth,ncxgates,nslices,lam,time to build,time to solve,nmoves,isvalid,nxvars,nyvars
51,601,400,219,0.08953353030710001,86.15302801132202,1692.5541944503784,4199.0,True,111690,21900
53,625,416,228,0.08275405494869248,89.27367830276489,1832.4080755710602,4982.0,True,120840,22800
55,649,432,237,0.07671653241273495,99.96721053123474,2015.1319153308868,5739.0,True,130350,23700
57,673,448,246,0.0713165026387106,115.82480263710022,2246.6974110603333,6651.0,True,140220,24600
59,697,464,255,0.06646726487205051,126.43268609046936,2498.017294883728,7536.0,True,150450,25500
61,721,480,264,0.06209637357178341,149.57578587532043,2687.476155281067,8436.0,True,161040,26400
63,745,496,273,0.05814291528577243,166.68792915344238,2730.094617843628,8215.0,False,171990,27300
65,769,512,282,0.05455537370430987,180.83864760398865,2551.489549636841,5007.0,False,183300,28200
67,793,528,291,0.05128994204236549,198.67350435256958,2829.768222808838,5818.0,False,194970,29100
69,817,544,300,0.04830917874396135,219.21659803390503,3584.6533381938934,6531.0,True,207000,30000
71,841,560,309,0.045580928939331786,303.88071632385254,3746.850960969925,7479.0,True,219390,30900
73,865,576,318,0.04307745326096321,263.1800694465637,3526.922319173813,8423.0,True,232140,31800
75,889,592,327,0.040774719673802244,289.62940740585327,3779.920564174652,9462.0,True,245250,32700
77,913,608,336,0.03865182436611008,307.7738525867462,4063.6884825229645,10564.0,True,258720,33600
79,937,624,345,0.0366905155017428,441.7406485080719,5065.19982790947,11562.0,True,272550,34500
81,961,640,354,0.034874799469903045,409.6191370487213,5005.870211839676,12655.0,True,286740,35400
83,985,656,363,0.03319061369444721,441.7735023498535,5582.410581827164,13787.0,True,301290,36300
85,1009,672,372,0.031625553447185324,560.9487838745117,5654.354155063629,15053.0,True,316200,37200
87,1033,688,381,0.030168642712764353,613.479198217392,7341.505452632904,16227.0,True,331470,38100
89,1057,704,390,0.02881014116969173,675.7093698978424,7021.505438089371,17624.0,False,347100,39000
91,1081,720,399,0.02754138092483957,571.5386912822723,6002.487711429596,9133.0,False,363090,39900
93,1105,736,408,0.026354627872654437,618.1301515102386,6493.764895200729,8237.0,False,379440,40800
95,1129,752,417,0.025242963523917708,655.534303188324,6818.893808603287,8806.0,False,396150,41700
97,1153,768,426,0.024200183921397802,691.9788801670074,7190.311413764954,9355.0,False,413220,42600
99,1177,784,435,0.02322071287588529,748.0498661994934,7553.6115601062775,9384.0,False,430650,43500
