nqubits,depth,n2gates,nslices,lam,time to build,time to solve,nmoves,isvalid,nxvars,nyvars
50,49,49,49,0.40816326530612246,19.951977252960205,508.2700164318085,726.0,True,24500,4900
51,50,50,50,0.39215686274509803,20.064939975738525,543.7435910701752,854.0,True,25500,5000
52,51,51,51,0.3770739064856712,21.883893489837646,536.5912601947784,881.0,True,26520,5100
53,52,52,52,0.36284470246734396,22.832992792129517,549.4190587997437,937.0,True,27560,5200
54,53,53,53,0.3494060097833683,27.200963020324707,619.1114044189453,1010.0,True,28620,5300
55,54,54,54,0.3367003367003367,25.581050872802734,611.7634553909302,1125.0,True,29700,5400
56,55,55,55,0.3246753246753247,25.281981229782104,624.0498659610748,1234.0,True,30800,5500
57,56,56,56,0.3132832080200501,28.933472394943237,647.4549777507782,1374.0,True,31920,5600
58,57,57,57,0.3024803387779794,29.444300413131714,655.6224920749664,1431.0,True,33060,5700
59,58,58,58,0.29222676797194624,33.874027967453,765.7841360569,1522.0,True,34220,5800
60,59,59,59,0.2824858757062147,36.496968507766724,783.185182094574,1649.0,True,35400,5900
61,60,60,60,0.273224043715847,33.9484486579895,736.3436381816864,1774.0,True,36600,6000
62,61,61,61,0.26441036488630354,35.561514377593994,767.3287124633789,1827.0,True,37820,6100
63,62,62,62,0.2560163850486431,37.48058843612671,775.5899200439453,1962.0,True,39060,6200
64,63,63,63,0.24801587301587302,39.12339425086975,794.3068401813507,2076.0,True,40320,6300
65,64,64,64,0.2403846153846154,41.75082087516785,844.1574037075043,2164.0,True,41600,6400
66,65,65,65,0.2331002331002331,43.50229859352112,864.4986581802368,2360.0,True,42900,6500
67,66,66,66,0.2261420171867933,45.38804006576538,898.0491790771484,1105.0,True,44220,6600
68,67,67,67,0.21949078138718173,51.60877203941345,939.5862996578217,1175.0,True,45560,6700
69,68,68,68,0.21312872975277067,52.5924928188324,930.7342031002045,1268.0,True,46920,6800
70,69,69,69,0.2070393374741201,51.42243814468384,976.0944998264313,1372.0,False,48300,6900
71,70,70,70,0.2012072434607646,54.8638641834259,1020.5845468044281,1449.0,True,49700,7000
72,71,71,71,0.19561815336463223,56.25879883766174,1028.6604533195496,1524.0,True,51120,7100
73,72,72,72,0.1902587519025875,58.53520059585571,1028.178742647171,1602.0,True,52560,7200
74,73,73,73,0.18511662347278784,62.88442349433899,1086.1673474311829,1758.0,True,54020,7300
75,74,74,74,0.18018018018018017,66.31291055679321,1114.6118109226227,1814.0,False,55500,7400
76,75,75,75,0.17543859649122806,67.4288318157196,1133.5024423599243,2012.0,True,57000,7500
77,76,76,76,0.17088174982911825,70.63303208351135,1182.994818687439,2041.0,True,58520,7600
78,77,77,77,0.1665001665001665,72.78723192214966,1210.0819222927094,2220.0,True,60060,7700
79,78,78,78,0.16228497241155468,76.01826214790344,1246.649156332016,2289.0,True,61620,7800
80,79,79,79,0.15822784810126583,77.19476652145386,1286.491342306137,2428.0,True,63200,7900
81,80,80,80,0.15432098765432098,84.24448657035828,1413.4782707691193,2562.0,True,64800,8000
82,81,81,81,0.15055706112616682,92.01180267333984,1450.1695244312286,2618.0,True,66420,8100
83,82,82,82,0.14692918013517484,94.12702465057373,1419.9636471271515,2758.0,True,68060,8200
84,83,83,83,0.1434308663224326,94.02704906463623,1479.42413687706,2903.0,True,69720,8300
85,84,84,84,0.1400560224089636,99.01733613014221,1492.5883181095123,3102.0,True,71400,8400
86,85,85,85,0.13679890560875513,101.34332609176636,1552.2363312244415,3142.0,True,73100,8500
87,86,86,86,0.13365410318096765,104.45133113861084,1601.7830407619476,3269.0,False,74820,8600
88,87,87,87,0.13061650992685475,107.32987451553345,1554.3467490673065,3392.0,True,76560,8700
89,88,88,88,0.12768130745658834,110.1482982635498,1619.9893026351929,3519.0,True,78320,8800
90,89,89,89,0.12484394506866417,115.17348432540894,1668.859209537506,3629.0,True,80100,8900
91,90,90,90,0.1221001221001221,118.40163612365723,1810.0946035385132,3820.0,True,81900,9000
92,91,91,91,0.11944577161968466,123.48236346244812,1833.7399497032166,3987.0,True,83720,9100
93,92,92,92,0.1168770453482936,128.15784978866577,1914.7381150722504,4096.0,True,85560,9200
94,93,93,93,0.11439029970258523,136.86003303527832,1984.4864404201508,4287.0,True,87420,9300
95,94,94,94,0.11198208286674133,137.99573135375977,1981.8779323101044,4313.0,True,89300,9400
96,95,95,95,0.05482456140350877,143.9906370639801,1987.6825132369995,5524.0,True,91200,9500
97,96,96,96,0.05369415807560137,153.32764148712158,2033.535117149353,4596.0,False,93120,9600
98,97,97,97,0.05259835893120135,157.95100736618042,2114.971780538559,4649.0,True,95060,9700
99,98,98,98,0.05153576582148011,159.9535756111145,2090.8394837379456,4795.0,True,97020,9800
100,99,99,99,0.050505050505050504,169.05177974700928,2176.2445430755615,4674.0,True,99000,9900
